Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,1116.560059,1133.8699951171875,1116.560059,1132.989990234375,1132.989990234375,3991400000
1/5/2010,1132.6600341796875,1136.6300048828125,1129.6600341796875,1136.52002,1136.52002,2491020000
1/6/2010,1135.709961,1139.189941,1133.949951171875,1137.1400146484375,1137.1400146484375,4972660000
1/7/2010,1136.27002,1142.459961,1131.3199462890625,1141.689941,1141.689941,5270680000
1/8/2010,1140.52002,1145.3900146484375,1136.219970703125,1144.97998,1144.97998,4389590000
1/11/2010,1145.959961,1149.739990234375,1142.02002,1146.97998,1146.97998,4255780000
1/12/2010,1143.810059,1143.810059,1131.77002,1136.219970703125,1136.219970703125,4716160000
1/13/2010,1137.310059,1148.4000244140625,1133.1800537109375,1145.6800537109375,1145.6800537109375,4170360000
1/14/2010,1145.6800537109375,1150.4100341796875,1143.800048828125,1148.459961,1148.459961,3915200000
1/15/2010,1147.719970703125,1147.77002,1131.3900146484375,1136.030029296875,1136.030029296875,4758730000
1/19/2010,1136.030029296875,1150.449951171875,1135.77002,1150.22998,1150.22998,4724830000
1/20/2010,1147.949951171875,1147.949951171875,1129.25,1138.040039,1138.040039,4810560000
1/21/2010,1138.6800537109375,1141.5799560546875,1114.8399658203125,1116.47998,1116.47998,6874290000
1/22/2010,1115.489990234375,1115.489990234375,1090.1800537109375,1091.760009765625,1091.760009765625,6208650000
1/25/2010,1092.4000244140625,1102.969970703125,1092.4000244140625,1096.780029296875,1096.780029296875,4481390000
1/26/2010,1095.800048828125,1103.689941,1089.8599853515625,1092.1700439453125,1092.1700439453125,4731910000
1/27/2010,1091.939941,1099.510009765625,1083.1099853515625,1097.5,1097.5,5319120000
1/28/2010,1096.9300537109375,1100.219970703125,1078.459961,1084.530029296875,1084.530029296875,5452400000
1/29/2010,1087.6099853515625,1096.449951171875,1071.5899658203125,1073.8699951171875,1073.8699951171875,5412850000
2/1/2010,1073.8900146484375,1089.3800048828125,1073.8900146484375,1089.189941,1089.189941,4077610000
2/2/2010,1090.050048828125,1104.72998,1087.959961,1103.3199462890625,1103.3199462890625,4749540000
2/3/2010,1100.6700439453125,1102.719970703125,1093.969970703125,1097.280029296875,1097.280029296875,4285450000
2/4/2010,1097.25,1097.25,1062.780029296875,1063.1099853515625,1063.1099853515625,5859690000
2/5/2010,1064.1199951171875,1067.1300048828125,1044.5,1066.189941,1066.189941,6438900000
2/8/2010,1065.510009765625,1071.199951171875,1056.510009765625,1056.739990234375,1056.739990234375,4089820000
2/9/2010,1060.060059,1079.280029296875,1060.060059,1070.52002,1070.52002,5114260000
2/10/2010,1069.6800537109375,1073.6700439453125,1059.3399658203125,1068.1300048828125,1068.1300048828125,4251450000
2/11/2010,1067.0999755859375,1080.040039,1060.5899658203125,1078.469970703125,1078.469970703125,4400870000
2/12/2010,1075.949951171875,1077.810059,1062.969970703125,1075.510009765625,1075.510009765625,4160680000
2/16/2010,1079.1300048828125,1095.6700439453125,1079.1300048828125,1094.8699951171875,1094.8699951171875,4080770000
2/17/2010,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,1099.510009765625,4259230000
2/18/2010,1099.030029296875,1108.239990234375,1097.47998,1106.75,1106.75,3878620000
2/19/2010,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,1109.1700439453125,3944280000
2/22/2010,1110,1112.290039,1105.3800048828125,1108.010009765625,1108.010009765625,3814440000
2/23/2010,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,1094.5999755859375,4521050000
2/24/2010,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,1105.239990234375,4168360000
2/25/2010,1101.239990234375,1103.5,1086.02002,1102.939941,1102.939941,4521130000
2/26/2010,1103.0999755859375,1107.239990234375,1097.560059,1104.489990234375,1104.489990234375,3945190000
3/1/2010,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.709961,1115.709961,3847640000
3/2/2010,1117.010009765625,1123.459961,1116.510009765625,1118.310059,1118.310059,4134680000
3/3/2010,1119.3599853515625,1125.6400146484375,1116.5799560546875,1118.790039,1118.790039,3951320000
3/4/2010,1119.1199951171875,1123.72998,1116.6600341796875,1122.969970703125,1122.969970703125,3945010000
3/5/2010,1125.1199951171875,1139.3800048828125,1125.1199951171875,1138.699951171875,1138.699951171875,4133000000
3/8/2010,1138.4000244140625,1141.050048828125,1136.77002,1138.5,1138.5,3774680000
3/9/2010,1137.560059,1145.3699951171875,1134.9000244140625,1140.449951171875,1140.449951171875,5185570000
3/10/2010,1140.219970703125,1148.260009765625,1140.0899658203125,1145.6099853515625,1145.6099853515625,5469120000
3/11/2010,1143.959961,1150.239990234375,1138.989990234375,1150.239990234375,1150.239990234375,4669060000
3/12/2010,1151.709961,1153.4100341796875,1146.969970703125,1149.989990234375,1149.989990234375,4928160000
3/15/2010,1148.530029296875,1150.97998,1141.449951171875,1150.510009765625,1150.510009765625,4164110000
3/16/2010,1150.8299560546875,1160.280029296875,1150.3499755859375,1159.459961,1159.459961,4369770000
3/17/2010,1159.939941,1169.8399658203125,1159.939941,1166.209961,1166.209961,4963200000
3/18/2010,1166.1300048828125,1167.77002,1161.1600341796875,1165.8299560546875,1165.8299560546875,4234510000
3/19/2010,1166.6800537109375,1169.199951171875,1155.3299560546875,1159.9000244140625,1159.9000244140625,5212410000
3/22/2010,1157.25,1167.8199462890625,1152.8800048828125,1165.810059,1165.810059,4261680000
3/23/2010,1166.469970703125,1174.719970703125,1163.8299560546875,1174.1700439453125,1174.1700439453125,4411640000
3/24/2010,1172.699951171875,1173.040039,1166.010009765625,1167.719970703125,1167.719970703125,4705750000
3/25/2010,1170.030029296875,1180.689941,1165.0899658203125,1165.72998,1165.72998,5668900000
3/26/2010,1167.5799560546875,1173.9300537109375,1161.47998,1166.5899658203125,1166.5899658203125,4708420000
3/29/2010,1167.709961,1174.8499755859375,1167.709961,1173.219970703125,1173.219970703125,4375580000
3/30/2010,1173.75,1177.8299560546875,1168.9200439453125,1173.27002,1173.27002,4085000000
3/31/2010,1171.75,1174.560059,1165.77002,1169.4300537109375,1169.4300537109375,4484340000
4/1/2010,1171.22998,1181.4300537109375,1170.689941,1178.0999755859375,1178.0999755859375,4006870000
4/5/2010,1178.709961,1187.72998,1178.709961,1187.439941,1187.439941,3881620000
4/6/2010,1186.010009765625,1191.800048828125,1182.77002,1189.439941,1189.439941,4086180000
4/7/2010,1188.22998,1189.5999755859375,1177.25,1182.449951171875,1182.449951171875,5101430000
4/8/2010,1181.75,1188.550048828125,1175.1199951171875,1186.439941,1186.439941,4726970000
4/9/2010,1187.469970703125,1194.6600341796875,1187.1500244140625,1194.3699951171875,1194.3699951171875,4511570000
4/12/2010,1194.939941,1199.199951171875,1194.709961,1196.47998,1196.47998,4607090000
4/13/2010,1195.939941,1199.040039,1188.8199462890625,1197.300048828125,1197.300048828125,5403580000
4/14/2010,1198.689941,1210.6500244140625,1198.689941,1210.6500244140625,1210.6500244140625,5760040000
4/15/2010,1210.77002,1213.9200439453125,1208.5,1211.6700439453125,1211.6700439453125,5995330000
4/16/2010,1210.1700439453125,1210.1700439453125,1186.77002,1192.1300048828125,1192.1300048828125,8108470000
4/19/2010,1192.060059,1197.8699951171875,1183.6800537109375,1197.52002,1197.52002,6597740000
